РОССИЯ - 10542
ГЕРМАНИЯ - 1281
ИНДИЯ - 1253
СОЕДИНЕННОЕ КОРОЛЕВСТВО - 897
ФРАНЦИЯ - 519
ВЕНГРИЯ - 462
СЛОВЕНИЯ - 430
ИТАЛИЯ - 381
БЕЛАРУСЬ - 304
ПОЛЬША - 277
ШВЕЙЦАРИЯ - 246
ХОРВАТИЯ - 213
ИСПАНИЯ - 177
АВСТРИЯ - 175
НИДЕРЛАНДЫ - 158
РУМЫНИЯ - 149
ЧЕШСКАЯ РЕСПУБЛИКА - 145
БОЛГАРИЯ - 140
СОЕДИНЕННЫЕ ШТАТЫ - 138
СЕРБИЯ - 118
СЛОВАКИЯ - 102
БЕЛЬГИЯ - 97
ШВЕЦИЯ - 86
УКРАИНА - 69
ЭСТОНИЯ - 66
ИРЛАНДИЯ - 63
ИЗРАИЛЬ - 59
АРМЕНИЯ - 55
ЛАТВИЯ - 53
ДАНИЯ - 50
ГРЕЦИЯ - 31
ФИНЛЯНДИЯ - 30
ТУРЦИЯ - 30
КИТАЙ - 30
ЧЕРНОГОРИЯ - 29
РЕСПУБЛИКА МАКЕДОНИЯ - 28
ПОРТУГАЛИЯ - 26
БОСНИЯ И ГЕРЦЕГОВИНА - 24
МАЛЬТА - 21
НОРВЕГИЯ - 19
ПАКИСТАН - 17
ВЬЕТНАМ - 14
ЯПОНИЯ - 11
МОЛДОВА, РЕСПУБЛИКА - 10
КАНАДА - 9
КАЗАХСТАН - 9
ЛИТВА - 8
891 - ЮГОСЛАВИЯ - 6
КОРЕЯ, РЕСПУБЛИКА - 5
ТАЙЛАНД - 4
МЕКСИКА - 3
ИСЛАНДИЯ - 3
ЕГИПЕТ - 3
СИНГАПУР - 1
КУБА - 1
